symbol,exchange_name,current_price,price_change_1h,price_change_percent_1h,volume_usd_1h,buy_volume_usd_1h,sell_volume_usd_1h,volume_change_usd_1h,volume_change_percent_1h,net_flows_usd_1h,price_change_4h,price_change_percent_4h,volume_usd_4h,buy_volume_usd_4h,sell_volume_usd_4h,volume_change_4h,volume_change_percent_4h,net_flows_usd_4h,price_change_12h,price_change_percent_12h,volume_usd_12h,buy_volume_usd_12h,sell_volume_usd_12h,volume_change_12h,volume_change_percent_12h,net_flows_usd_12h,price_change_24h,price_change_percent_24h,volume_usd_24h,buy_volume_usd_24h,sell_volume_usd_24h,volume_change_24h,volume_change_percent_24h,net_flows_usd_24h,price_change_1w,price_change_percent_1w,volume_usd_1w,buy_volume_usd_1w,sell_volume_usd_1w,volume_change_usd_1w,volume_change_percent_1w,net_flows_usd_1w,base_asset_queried
ETH/USDT,Binance,2099.73,-20.09,-0.95,49910880.4167,18627299.5951,31283580.8216,15247213.612,43.99,-12656281.2265,-15.13,-0.72,110231006.9439,44978770.2755,65252236.6684,34214077.1494,45.01,-20273466.3929,-26.65,-1.25,235713982.2307,102310278.3445,133403703.8862,-173528989.7164,-42.4,-31093425.5417,-11.66,-0.55,644956954.1778,315171282.5957,329785671.5821,-27222775.4935,-4.05,-14614388.9864,-163.35,-7.22,3854981647.503,1807453262.2961,2047528385.2069,-1884710104.5195,-32.84,-240075122.9108,ETH
ETH/USD,OKX,2098.41,-20.81,-0.98,789464.9445,320093.48,469371.4645,383228.9419,94.34,-149277.9845,-15.34,-0.73,1606031.3908,682921.6423,923109.7485,-17628.1329,-1.09,-240188.1062,-26.27,-1.24,4659455.5391,1921059.9343,2738395.6048,-981821.8492,-17.4,-817335.6705,-12.76,-0.6,10300732.9274,4692335.9137,5608397.0137,-6004360.0923,-36.83,-916061.1,-163.66,-7.23,73984720.3579,28852492.9815,45132227.3764,13039616.0795,21.4,-16279734.3949,ETH
ETH/USDT,OKX,2099.45,-20.26,-0.96,29013884.4177,10409419.3788,18604465.0389,14190287.4476,95.73,-8195045.6601,-15.28,-0.72,61807888.9943,28016537.1063,33791351.888,21122240.2253,51.92,-5774814.7817,-26.97,-1.27,198252961.059,95864407.3721,102388553.6869,22761956.6829,12.97,-6524146.3148,-11.83,-0.56,373743965.4351,176904289.6196,196839675.8155,11757218.8849,3.25,-19935386.1959,-162.23,-7.17,2041940657.3418,966703394.0723,1075237263.2695,195350234.0147,10.58,-108533869.1972,ETH
ETH/USDT,Bybit,2099.67,-19.96,-0.94,19630199.6364,8960028.2681,10670171.3683,8145839.1362,70.93,-1710143.1002,-15.05,-0.71,40698123.0175,19529152.2896,21168970.7279,11785614.409,40.76,-1639818.4383,-26.59,-1.25,88047294.7429,42434490.1071,45612804.6358,-46703698.4281,-34.66,-3178314.5287,-11.19,-0.53,222798287.9139,106439179.5245,116359108.3894,-104507828.6597,-31.93,-9919928.8649,-162.19,-7.17,1472830591.0616,699536753.5566,773293837.505,-141795902.1474,-8.78,-73757083.9484,ETH
ETH/USD,Bybit,2098.81,-17.99,-0.85,88425.7761,36799.0052,51626.7709,2698.0373,3.15,-14827.7657,-9.04,-0.43,214933.9782,122551.6099,92382.3683,188908.3841,725.86,30169.2416,-37.02,-1.73,240959.5723,133519.7833,107439.789,18834.1287,8.48,26079.9943,-10.31,-0.49,463085.0159,241857.1731,221227.8428,-52861.0316,-10.25,20629.3303,-173.21,-7.62,319585.733,160391.8021,159193.9309,-728814.6747,-69.52,1197.8712,ETH
ETH/USD,Coinbase,2097.25,-20.65,-0.98,28883602.1074,11279080.645,17604521.4624,12303672.4697,74.21,-6325440.8174,-15.48,-0.73,57486617.8283,23877962.5499,33608655.2784,33399085.0998,138.66,-9730692.7285,-27.45,-1.29,102935436.5643,44705310.2212,58230126.3431,-92503956.561,-47.33,-13524816.1219,-12.48,-0.59,298374829.6896,136318028.2477,162056801.4419,68321523.6859,29.7,-25738773.1942,-163.08,-7.21,1589072474.3224,754474769.6611,834597704.6613,185954163.0778,13.25,-80122935.0002,ETH
ETH/USDT,Coinbase,2098.8,-23.54,-1.11,256721.767,114602.7879,142118.9791,195930.7032,322.3,-27516.1912,-15.91,-0.75,435466.3521,230988.2522,204478.0999,101171.9088,30.26,26510.1523,-26.86,-1.26,978025.4148,512276.37,465749.0448,-470429.5127,-32.48,46527.3252,-12.02,-0.57,2426480.3423,1124850.0735,1301630.2688,-282178.8231,-10.42,-176780.1953,-164.21,-7.26,10968747.9655,5963773.1942,5004974.7713,-2404908.8357,-17.98,958798.4229,ETH
ETH/USD,Bitfinex,2098.4,-21.1,-1.0,979438.4359,223486.4347,755952.0012,356738.3985,57.29,-532465.5665,-16.1,-0.76,2178798.2752,692747.2855,1486050.9897,1226253.6176,128.73,-793303.7042,-27.6,-1.3,4038338.2936,1403309.8077,2635028.4859,-2286483.3126,-36.15,-1231718.6782,-13.5,-0.64,10363159.8998,3793912.8725,6569247.0273,-7776342.796,-42.87,-2775334.1548,-162.6,-7.19,92361590.6464,41270569.5289,51091021.1175,-29709525.7778,-24.34,-9820451.5886,ETH
ETH/USD,Kraken,2097.6,-21.03,-0.99,6823748.7832,2978607.7641,3845141.0191,5931468.5345,664.75,-866533.255,-16.13,-0.76,9771802.8795,4501723.5943,5270079.2852,4098871.8319,72.25,-768355.6909,-26.89,-1.27,20605493.3373,13805320.6895,6800172.6478,-16098586.8895,-43.86,7005148.0417,-13.56,-0.64,57309573.5641,34422157.7078,22887415.8563,-12644903.8231,-18.08,11534741.8515,-163.81,-7.24,274820201.7186,136530417.0302,138289784.6884,7344976.3033,2.75,-1759367.6582,ETH
ETH/USDT,Kraken,2099.55,-19.81,-0.93,306616.3266,42295.3415,264320.9851,186836.6169,155.98,-222025.6436,-14.19,-0.67,560512.023,138186.6644,422325.3586,385959.6413,221.11,-284138.6942,-26.7,-1.26,862412.76,212672.7046,649740.0554,-294208.4467,-25.44,-437067.3508,-11.31,-0.54,2019033.9667,629927.9419,1389106.0248,-2453766.6511,-54.86,-759178.0829,-164.06,-7.25,16597701.6661,6031915.6892,10565785.9769,-5704902.0207,-25.58,-4533870.2877,ETH
ETH/USD,Gemini,2097.34,-21.41,-1.01,219841.2968,92067.3616,127773.9352,129976.6762,144.64,-35706.5736,-11.62,-0.55,361308.9651,166087.545,195221.4201,139428.2271,62.84,-29133.8751,-26.52,-1.25,775341.6725,402306.58,373035.0925,-1191299.2005,-60.58,29271.4875,-11.77,-0.56,2741982.5455,1361316.3081,1380666.2374,642805.2566,30.62,-19349.9293,-164.98,-7.29,17863736.0633,8633262.3322,9230473.7311,-5486783.1426,-23.5,-597211.3989,ETH
ETH/USDT,Gate,2099.45,-20.34,-0.96,30929123.5755,14920068.8123,16009054.7632,15242038.0546,97.16,-1088985.9509,-15.45,-0.73,65625483.493,31490521.1354,34134962.3576,19990664.9131,43.81,-2644441.2222,-26.63,-1.25,164583240.1818,81126692.9568,83456547.225,-53460932.7523,-24.52,-2329854.2682,-11.93,-0.57,382627413.1159,191793135.585,190834277.5309,41434953.664,12.14,958858.0541,-162.17,-7.17,2005630127.6762,998808296.1383,1006821831.5379,-46304130.7117,-2.26,-8013535.3996,ETH
ETH/USDT,Bitget,2099.75,-19.97,-0.94,23308118.3234,11083376.2013,12224742.1221,14543608.0112,165.94,-1141365.9208,-15.11,-0.71,38613967.1563,19024173.4956,19589793.6607,17721571.5259,84.82,-565620.1651,-26.43,-1.24,75582550.6818,38171463.0485,37411087.6333,-83585431.193,-52.51,760375.4152,-11.49,-0.54,234750532.5566,115047714.2014,119702818.3552,6395575.1959,2.8,-4655104.1538,-162.22,-7.17,1216848030.7457,614527423.2643,602320607.4814,101239240.1661,9.07,12206815.7829,ETH
ETH/USD,Bitstamp,2097.83,-20.54,-0.97,1167231.1187,352469.2335,814761.8852,-575390.9727,-33.02,-462292.6517,-15.73,-0.74,3607068.6978,989461.865,2617606.8328,2349306.8768,186.78,-1628144.9678,-26.68,-1.26,5690934.5101,2015151.2689,3675783.2412,-3030605.6058,-34.75,-1660631.9723,-12.32,-0.58,14412474.626,6641847.3509,7770627.2751,1346554.992,10.31,-1128779.9242,-163.17,-7.22,106129152.4813,52991004.958,53138147.5233,4198869.7643,4.12,-147142.5653,ETH
ETH/USDT,Bitstamp,2099.05,-25.06,-1.18,13321.1549,0.0,13321.1549,12957.7049,3565.2,-13321.1549,-10.06,-0.48,15051.3471,363.45,14687.8971,7103.2524,89.37,-14324.4471,-43.39,-2.03,28328.9502,3450.5429,24878.4073,-49915.2285,-63.79,-21427.8644,-7.33,-0.35,106573.1289,37241.4759,69331.653,-66.3513,-0.06,-32090.1771,-148.97,-6.53,224148.5095,67409.0062,156739.5033,61009.2987,37.4,-89330.4971,ETH
