symbol,min_price,max_price,avg_price,exchange_count,exchanges,spread_abs,spread_pct
BEAM/USDT,0.001709,0.02044,0.007954999999999999,3,"['Bybit', 'Gate', 'Bitget']",0.018731,235.46
VELO/USD,0.003662,0.01485,0.007405033333333334,3,"['Coinbase', 'Kraken', 'Crypto.com']",0.011188,151.09
SUP/USD,0.00405,0.01491,0.009479999999999999,2,"['Coinbase', 'Kraken']",0.01086,114.56
RAVE/USDT,0.58067,0.7927,0.6523333333333333,3,"['Kraken', 'Gate', 'Bitget']",0.21202999999999994,32.5
IAG/USDT,0.02272,0.0296,0.026160000000000003,2,"['Gate', 'Bitget']",0.006880000000000001,26.3
VANRY/USDT,0.00401,0.005096,0.004812,4,"['Binance', 'Bybit', 'Gate', 'Bitget']",0.0010860000000000002,22.57
BTR/USDT,0.02639,0.02776,0.027075000000000002,2,"['Gate', 'Bitget']",0.0013699999999999997,5.06
YFI/USD,2461.19,2575.64,2506.2433333333333,3,"['Coinbase', 'Gemini', 'Crypto.com']",114.44999999999982,4.57
RLS/USD,0.0047174,0.00489,0.004782466666666666,3,"['Coinbase', 'Bitfinex', 'Kraken']",0.00017260000000000018,3.61
ACS/USD,0.000167,0.000173,0.00017,2,"['Coinbase', 'Crypto.com']",6.00000000000001e-06,3.53
SUI/USD,1.0529,1.0815,1.0574585714285714,7,"['OKX', 'Coinbase', 'Bitfinex', 'Kraken', 'Gemini', 'Bitstamp', 'Crypto.com']",0.02859999999999996,2.7
BDXN/USDT,0.002149,0.0022,0.00218,3,"['Bybit', 'Gate', 'Bitget']",5.1000000000000264e-05,2.34
SWELL/USD,0.0017,0.00174,0.00172,2,"['Coinbase', 'Kraken']",4.0000000000000105e-05,2.33
HYPE/USD,47.63,48.6871,47.85602,5,"['OKX', 'Coinbase', 'Kraken', 'Gemini', 'Bitstamp']",1.0570999999999984,2.21
PHA/USD,0.03294,0.03361,0.033275,2,"['OKX', 'Kraken']",0.0006700000000000039,2.01
ONE/USDT,0.002001,0.00204,0.0020123333333333334,6,"['Binance', 'OKX', 'Bybit', 'Gate', 'Bitget', 'Crypto.com']",3.899999999999997e-05,1.94
ALGO/USD,0.10957,0.11153,0.11017,4,"['OKX', 'Coinbase', 'Kraken', 'Bitstamp']",0.0019600000000000034,1.78
SWELL/USDT,0.001726,0.001756,0.0017383333333333333,3,"['Bybit', 'Gate', 'Bitget']",2.9999999999999862e-05,1.73
TIA/USD,0.39,0.3968,0.3928275,4,"['OKX', 'Coinbase', 'Kraken', 'Crypto.com']",0.006799999999999973,1.73
VINE/USD,0.01681,0.01709,0.01695,2,"['OKX', 'Kraken']",0.00028000000000000247,1.65
TIA/USDT,0.3903,0.3965,0.39153333333333334,6,"['Binance', 'OKX', 'Bybit', 'Gate', 'Bitget', 'Crypto.com']",0.006200000000000039,1.58
JUP/USD,0.19396,0.197,0.194886,5,"['Bitfinex', 'Kraken', 'Gemini', 'Bitstamp', 'Crypto.com']",0.003040000000000015,1.56
STORJ/USD,0.1171,0.11893,0.11812666666666666,3,"['Coinbase', 'Kraken', 'Crypto.com']",0.0018299999999999983,1.55
POL/USD,0.088715,0.09009,0.08904250000000001,6,"['OKX', 'Coinbase', 'Bitfinex', 'Kraken', 'Gemini', 'Bitstamp']",0.0013750000000000012,1.54
LDO/USD,0.351,0.3562,0.35225999999999996,5,"['Coinbase', 'Kraken', 'Gemini', 'Bitstamp', 'Crypto.com']",0.005200000000000038,1.48
BERA/USDT,0.3774,0.383,0.3793,6,"['Binance', 'OKX', 'Bybit', 'Kraken', 'Gate', 'Bitget']",0.005599999999999994,1.48
FORTH/USD,0.23,0.2334,0.23126666666666665,3,"['Coinbase', 'Kraken', 'Crypto.com']",0.0033999999999999864,1.47
FARM/USD,6.75,6.85,6.8,2,"['Coinbase', 'Kraken']",0.09999999999999964,1.47
OSMO/USD,0.06444,0.06538,0.06477333333333334,3,"['Coinbase', 'Kraken', 'Crypto.com']",0.0009399999999999964,1.45
SSV/USDT,2.509,2.545,2.5206,5,"['Binance', 'OKX', 'Bybit', 'Gate', 'Bitget']",0.03600000000000003,1.43
KTA/USD,0.1333,0.1352,0.13424999999999998,2,"['Coinbase', 'Kraken']",0.001899999999999985,1.42
OXT/USD,0.00976,0.0099,0.00983,2,"['Coinbase', 'Kraken']",0.00014000000000000123,1.42
LCX/USD,0.03374,0.0342,0.03397,2,"['Coinbase', 'Kraken']",0.0004600000000000021,1.35
PUMP/USD,0.00166869,0.001691,0.0016754225,4,"['OKX', 'Coinbase', 'Kraken', 'Gemini']",2.2309999999999995e-05,1.33
VIRTUAL/USD,0.7032,0.7126,0.707175,4,"['OKX', 'Coinbase', 'Kraken', 'Bitstamp']",0.009399999999999964,1.33
G/USDT,0.003459,0.003505,0.0034763999999999997,5,"['Binance', 'OKX', 'Bybit', 'Gate', 'Bitget']",4.6000000000000034e-05,1.32
